name,brand,description,variety,family,image,measurementUnit,unitConversionFactor,  price,netContent,units,manufacturer_name,manufacturer_id,manufacturer_country
Sole - Fillet,"Sawayn, Lindgren and Becker","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",box,,http://dummyimage.com/175x100.png/ff4444/ffffff,Ounces,k,$2.89,22,1,Lazz,b4bbbf68-e3c0-4d86-9222-919298ef74fb,Chile
Island Oasis - Sweet And Sour Mix,Medhurst Inc,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,pack,,http://dummyimage.com/193x100.png/5fa2dd/ffffff,Grams,k,$7.79,80,2,Skimia,888c40d0-d2a1-45ad-8ae1-ac2d72d776fb,Portugal
Cheese - Cottage Cheese,"Doyle, Johns and Olson","Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",liquid,,http://dummyimage.com/181x100.png/ff4444/ffffff,Liters,k,$4.83,70,3,Minyx,f735a7d8-5cd0-4a27-bfee-dfcbfde7bec0,Tunisia
"Mushroom - Shitake, Dry",Bosco-Runte,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",can,,http://dummyimage.com/219x100.png/dddddd/000000,Kilograms,k,$0.20,38,4,Tagopia,ca6045d4-aee3-4cdd-9a12-2ef909a80270,China
Bandage - Fexible 1x3,Paucek Inc,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",loaf,,http://dummyimage.com/112x100.png/cc0000/ffffff,Ounces,k,$1.55,80,5,Leexo,bdb3652a-f191-4e31-a468-daf1980b89c3,Ukraine
Asparagus - Frozen,"Okuneva, Jacobs and Goldner","Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",pack,,http://dummyimage.com/165x100.png/dddddd/000000,Grams,k,$7.96,7,6,Jayo,00c888cd-7180-493e-9e14-63bb95f3f766,Russia
Toothpick Frilled,Larkin-Langworth,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",loaf,,http://dummyimage.com/131x100.png/5fa2dd/ffffff,Grams,k,$1.82,74,7,Meemm,09819a3d-b1c5-43ff-bd33-30345ca9f0b0,Brazil
Nutmeg - Ground,Turcotte and Sons,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",box,,http://dummyimage.com/242x100.png/5fa2dd/ffffff,Pounds,k,$0.16,30,8,Shufflester,517b79c4-c635-4c9e-9cee-83507641129e,Vietnam
V8 Pet,Wolff-Mitchell,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.",liquid,,http://dummyimage.com/138x100.png/ff4444/ffffff,Liters,k,$6.01,78,9,Mybuzz,6b338b82-7c53-444c-9cb6-9fd25440eb92,China
Lettuce - Escarole,Luettgen-Crist,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",pack,,http://dummyimage.com/229x100.png/5fa2dd/ffffff,Grams,k,$3.35,20,10,Thoughtsphere,ba4a4e6a-bc90-4ef4-be89-11711f7eb6a8,Thailand
